Beacon1,Beacon2,Beacon3,Beacon4,Beacon5,Beacon6,Beacon7,Beacon8,Beacon9,Beacon10,Target
-81.86523398,,-92.98900852,-96.98796321,-93.53370747,,-81.86523398,-88.20366228,-88.20366228,-99.9862353,0
-94.9886041,-82.44490733,,,-93.4501044,-82.44490733,-94.9886041,,,-97.97776405,0
-79.21568439,-79.91672444,-87.81666192,-84.13779881,-89.97914075,-79.91672444,-79.21568439,-87.9741381,-87.9741381,,0
-93.98882948,-86.45056605,-83.19954811,-90.98926371,-94.9886041,-86.45056605,-93.98882948,-82.1786284,-82.1786284,,0
-77.18340374,-77.86525808,-82.39230104,-90.98926371,-94.44995508,-77.86525808,-77.18340374,-89.49834617,-89.49834617,,0
-96.98796321,-94.9886041,-86.45056605,,-95.98832037,-94.9886041,-96.98796321,,,,0
-88.98942473,,-90.01621055,-91.98915073,,,-88.98942473,-86.22524216,-86.22524216,,0
-81.78854885,-83.53423661,-84.64869262,-91.45031723,-91.98915073,-83.53423661,-81.78854885,-93.98882948,-93.98882948,,0
-85.4746387,,-95.98832037,,,,-85.4746387,-96.97810048,-96.97810048,-95.98832037,0
-72.78608796,-81.03783409,-81.34469243,-89.79614093,-91.01614283,-81.03783409,-72.78608796,-85.2642042,-85.2642042,-94.9886041,0
-86.22524216,,-91.98915073,-90.864956,,,-86.22524216,-94.9886041,-94.9886041,-95.86426844,0
-82.21511879,-89.98935344,-93.86463952,-99.9862353,,-89.98935344,-82.21511879,-86.19949393,-86.19949393,,0
-79.86524875,,,-94.22466207,-95.98832037,,-79.86524875,,,,0
-86.98952633,-78.98967251,-85.45058972,-90.98926371,-89.98935344,-78.98967251,-86.98952633,,,,0
-90.98926371,-93.98882948,-96.98796321,,-96.98796321,-93.98882948,-90.98926371,-88.98942473,-88.98942473,-95.53336362,0
-82.45063532,-69.5804304,,-97.98751362,,-69.5804304,-82.45063532,,,,0
,-92.97888266,,-97.98751362,-93.19905821,-92.97888266,,,,,0
-79.97937415,,-95.98832037,-90.98926371,-92.53382839,,-79.97937415,-82.47468455,-82.47468455,,0
-80.68632234,-71.36048739,-85.00614464,-96.21776029,-94.44995508,-71.36048739,-80.68632234,-88.57558547,-88.57558547,-101.9842101,0
-92.98900852,,,-97.98751362,,,-92.98900852,,,,0
-64.32273278,-82.35073493,-87.47458494,-88.97919409,-89.22513342,-82.35073493,-64.32273278,-86.86514741,-86.86514741,-100.9853386,0
-97.98806012,,-94.98887806,,,,-97.98806012,,,,0
-97.98751362,,,,,,-97.98751362,,,,0
-83.17659676,-74.87560624,-96.98796321,-96.98796321,,-74.87560624,-83.17659676,,,,0
